salary,age,elevel,car,zipcode,credit,brand
119806.5448,45,0,14,4,442037.7113,0
106880.4784,63,1,11,6,45007.17883,1
78020.75094,23,0,15,2,48795.32279,0
63689.93635,51,3,6,5,40888.87736,1
50873.6188,20,3,14,4,352951.4977,0
130812.7428,56,3,14,3,135943.022,1
136459.3392,24,4,8,5,80500.56351,1
103866.8996,62,3,3,0,359803.8935,1
72298.80402,29,4,17,0,276298.6952,0
37803.33285,41,1,5,4,493219.2686,1
63704.26156,48,4,16,5,299460.2274,1
128999.9356,52,1,6,0,152232.5098,0
57991.29599,52,3,20,4,227743.7497,1
82474.57645,33,4,13,3,424657.4967,0
63988.96981,62,2,6,3,262136.3065,0
132310.3604,23,1,11,4,451927.6024,1
113236.3836,24,2,7,7,198381.8984,1
120525.5994,57,1,6,2,15964.6837,0
121457.6349,50,2,2,8,415359.2324,0
89740.99923,77,0,18,2,195091.9259,1
95142.1181,44,0,2,8,89818.29461,0
87383.95734,80,3,7,5,243166.6117,1
21143.94206,64,2,11,2,296635.2507,1
34581.64726,55,0,15,6,185603.2507,1
37200.74208,32,3,9,6,168547.0761,1
60305.50057,58,1,4,4,469719.5006,1
32839.41644,30,4,20,1,177224.3626,1
45070.50666,48,3,1,5,360446.3909,1
92417.81235,43,0,2,0,22677.44642,0
107710.3192,75,0,16,2,209002.4065,1
148495.4447,62,2,9,1,377495.2951,1
78238.12041,70,3,8,0,80432.57726,0
97736.75249,21,1,1,2,76882.24568,1
91315.19507,57,3,16,6,267350.9575,0
125452.1207,42,3,14,1,417529.833,1
38579.20533,44,2,10,3,84260.2812,1
38043.11147,52,2,2,3,210004.5866,1
49692.09674,42,4,8,2,462826.1495,1
101454.6305,26,0,18,2,22960.79969,0
123266.0939,45,0,17,3,0,0
108356.0675,26,0,9,0,193313.0143,1
145227.4387,51,1,5,3,436186.7925,1
47038.66895,37,4,11,4,26372.01677,1
90380.44913,28,2,17,0,0,0
87634.04855,59,2,5,6,206711.9404,1
132209.9161,68,2,4,6,417555.6048,1
74868.80467,71,1,7,5,176808.022,0
75014.31541,72,3,18,3,296145.2233,1
97986.02981,69,2,5,5,247553.2448,1
76687.00712,41,0,4,3,405797.2386,0
36679.32036,35,4,12,1,15727.3963,1
87572.47168,43,1,12,4,68500.989,0
125796.5011,57,0,15,7,323423.7621,0
110027.6772,52,0,16,4,386734.4386,0
81015.25683,63,0,7,7,250036,1
88405.44247,36,4,8,7,195042.678,0
79709.08819,51,2,3,1,291992.4442,0
116982.1324,42,0,5,6,250699.3393,0
36761.19167,32,2,6,2,114826.0399,1
101996.8511,33,0,8,2,276545.1894,0
30991.66107,75,1,18,4,307978.644,0
137871.8319,24,0,17,5,115781.5242,1
83185.07469,62,4,2,8,163108.4384,1
31430.23788,47,4,10,2,177297.7198,1
50883.13139,72,1,18,6,259957.0146,0
63708.35087,31,0,18,6,129263.3169,0
66431.46169,79,1,20,6,388763.2145,0
145409.6872,22,1,16,3,393137.5146,1
79448.80903,42,2,5,2,62604.36209,0
131957.8134,65,4,11,1,238253.0074,1
91708.59748,44,4,9,5,396255.5288,0
150000,46,4,1,8,313158.5103,1
109505.1253,61,2,10,3,68952.84297,0
131927.7112,63,1,8,1,424565.9627,1
110539.0599,64,4,11,6,257476.5904,1
133162.3653,69,0,7,8,413996.4766,1
140352.0096,75,2,15,4,339276.6955,1
85161.21816,64,2,14,5,36491.25654,1
42954.52214,64,0,13,0,463502.2803,0
143756.6798,54,1,13,2,88560.27002,1
137368.9441,57,4,12,8,415156.2822,1
43377.95669,30,0,6,2,190336.1605,1
85919.98579,75,3,7,1,43412.86628,1
147788.4085,30,1,5,2,131963.4556,1
66923.38974,73,4,11,1,266925.7954,0
144289.5569,31,4,7,7,113120.0512,1
91947.70597,73,0,12,6,237813.5768,1
96785.84648,52,4,19,5,148748.7091,0
47399.23601,21,4,2,3,362188.0274,1
42158.55331,53,1,3,6,121961.5697,1
56740.9202,66,2,18,6,144605.2693,0
101076.8581,22,0,6,1,268532.5642,1
37854.62392,59,0,9,0,496484.7927,1
104524.7856,75,3,9,3,252602.3268,1
51053.51946,30,0,15,5,88354.59118,0
46822.50581,29,2,7,8,414381.2016,0
34759.47997,58,4,16,1,396818.5906,1
141628.0388,75,2,18,3,326686.0247,1
59628.93628,36,4,12,7,290262.5533,0
78358.97271,76,3,10,7,365827.7418,1
26963.8117,35,1,8,5,266219.8571,1
116112.6737,26,4,19,7,404450.4455,1
83246.06241,73,3,13,2,252877.311,1
130659.3274,29,0,15,0,271194.6055,1
47868.26996,41,2,14,3,36230.61235,1
96033.56517,57,1,14,6,482692.673,0
31392.28755,24,1,1,7,491295.7244,1
69737.79123,61,2,16,6,348396.9512,0
27102.74327,46,0,16,2,293842.1544,1
23654.64631,76,0,14,1,460399.5189,1
138560.6316,62,4,18,0,81219.09461,1
84730.79371,61,4,16,6,190860.2432,1
138221.6411,45,2,7,4,219282.5017,1
80798.43468,47,2,11,5,390780.3539,0
129050.4786,77,4,10,4,481644.6779,1
96839.44554,53,1,18,4,393853.3631,0
116080.6148,65,3,19,8,70909.89901,1
100820.0127,70,4,4,6,463076.2302,1
129274.9851,29,2,12,0,98820.08272,1
102307.338,77,0,3,1,305063.1696,1
112471.3817,24,1,2,2,318564.8699,1
48880.22734,38,2,9,4,376145.7739,1
80460.46303,21,4,2,7,180388.1352,0
43727.80569,43,3,19,1,199837.2545,1
134832.8799,44,3,10,6,387388.682,1
89282.60355,55,3,14,4,245925.2087,0
117663.2622,70,1,5,0,291348.255,1
117036.9001,34,3,3,2,114259.2543,1
103561.6649,38,3,4,7,362072.0556,1
23964.83034,57,1,17,4,165441.501,1
53452.1516,32,1,20,2,24755.74467,0
134663.8237,51,1,2,1,476990.3625,1
27705.55768,41,4,16,5,213908.7984,1
68420.3845,26,4,14,2,485034.8151,0
83499.84104,78,4,19,3,211182.218,1
45257.89254,40,2,11,4,374850.8742,1
22083.3418,52,1,14,7,87643.63816,1
115221.605,42,3,12,8,460387.283,0
84020.68676,72,4,11,4,334105.9909,1
109830.1691,24,1,9,8,144156.9785,1
140784.7192,60,4,3,4,485468.1685,1
104363.634,29,2,15,8,71762.09863,1
58089.91395,45,2,9,5,460439.3142,1
138483.5089,34,4,17,7,158932.9768,1
27228.80043,39,0,19,1,365463.041,1
120233.0347,70,2,16,8,91005.91966,1
137794.6133,24,0,13,2,216481.9042,1
33466.40514,74,4,20,6,123852.0306,0
26386.96058,52,1,3,2,93758.19955,1
125116.9682,32,3,15,0,290177.4608,1
111872.7192,41,0,8,1,13674.56176,0
55982.03847,60,3,2,1,50869.17995,0
133279.7834,41,2,15,6,260987.137,1
25011.38899,20,4,3,7,282742.6841,1
41010.73299,62,4,9,4,476510.2101,1
148518.7501,52,1,17,8,293916.2145,1
140390.2986,69,2,7,6,235410.8935,1
106841.0035,78,3,2,5,386222.3608,1
90537.0496,35,1,2,2,302056.9251,0
37910.1441,20,3,1,1,399464.5848,1
92422.59324,52,2,8,2,308886.506,0
150000,31,4,18,5,249790.5327,1
66938.52234,47,1,11,8,15198.15057,1
88387.43138,80,1,11,1,82333.27718,1
29060.81025,45,2,9,8,406164.5896,1
107592.5351,33,2,6,5,169847.3343,1
27478.32781,69,3,8,1,500000,0
145683.8368,41,3,9,7,271596.1632,1
119888.6319,41,0,3,6,328779.0399,0
128751.1452,66,0,2,0,394010.9906,1
102644.1368,72,1,6,0,279655.7691,1
50887.8217,55,0,20,2,329172.0321,1
84796.30592,24,2,19,2,167741.3617,0
112310.1495,75,1,3,6,161946.6083,1
132530.6515,25,1,5,4,145812.3485,1
23520.41143,72,2,8,7,313318.6606,0
29819.80482,57,4,4,4,186745.1407,1
