salary,age,elevel,car,zipcode,credit,brand
110499.7354,54,3,15,4,354724.1825,0
140893.7791,44,4,20,7,395015.339,0
119159.6517,49,2,1,3,122025.0852,0
20000,56,0,9,1,99629.62146,0
93956.32049,59,1,15,1,458679.8262,0
41365.43328,71,2,7,2,216839.7152,0
94805.61113,32,1,17,1,233216.0707,0
34410.6276,33,4,17,0,450707.3812,0
128298.8212,32,1,19,2,20768.06415,0
100806.9209,58,2,8,4,293106.6546,0
49863.40964,22,1,12,1,156086.6867,0
94554.18804,47,4,12,2,100467.99,0
79637.65823,41,2,1,3,387564.5476,0
87085.57895,40,4,9,2,458378.0004,0
126945.6663,62,3,4,4,211178.9014,0
29080.92083,58,1,13,3,29965.97517,0
147561.7258,28,4,6,8,322196.3147,0
72346.05201,37,3,15,8,403166.447,0
52129.77195,44,3,9,6,73639.45893,0
35640.04161,57,3,10,8,91722.42434,0
100868.9066,39,0,5,2,300078.3626,0
98780.08068,77,1,12,6,139597.9537,0
140685.8197,73,2,8,1,185189.3088,0
109305.1954,31,2,17,0,166310.2379,0
117212.3783,30,3,6,7,260175.807,0
41430.31861,53,2,10,5,7023.300616,0
56118.04644,69,4,2,8,41596.72091,0
79203.78449,75,2,4,0,461032.0939,0
136189.4317,56,0,12,6,152598.1311,0
67249.51459,30,2,11,6,455241.0776,0
22854.2421,72,2,6,1,321523.4878,0
30211.41075,41,0,19,4,481293.5213,0
116690.5653,50,2,10,1,199885.5631,0
94375.87719,27,3,18,4,403469.11,0
91129.12641,75,3,10,6,328625.351,0
94446.2489,67,3,8,5,352264.6121,0
83858.10407,20,4,5,8,51211.42228,0
49898.09807,72,4,12,6,484565.2146,0
27323.5208,30,0,17,8,233145.8521,0
73249.47943,27,0,2,1,49875.72997,0
40408.25989,54,2,14,0,437909.3552,0
48225.18379,25,4,6,3,179703.2016,0
45520.00972,33,1,14,2,138640.2199,0
30372.27565,80,0,5,3,481605.8996,0
33167.37542,26,1,18,6,475809.1777,0
55260.32748,59,2,7,6,450971.8521,0
100862.5066,77,3,14,7,135444.8306,0
33926.48622,42,1,15,5,338957.7912,0
34547.10556,69,4,15,8,178745.3287,0
50400.92157,46,2,11,5,155881.1573,0
36771.82483,66,0,15,3,285592.9044,0
57293.90047,61,3,2,7,254309.3692,0
103162.1155,22,0,11,6,20154.04327,0
84321.91334,40,4,7,7,240352.3575,0
44978.93098,51,3,8,2,30226.27318,0
33261.0419,74,1,2,2,441965.5178,0
138174.402,24,1,19,7,34065.70539,0
146356.9425,74,2,10,5,344798.6671,0
99339.7986,34,0,9,2,6024.31096,0
71182.20266,63,0,6,5,66611.49486,0
71550.5906,31,1,14,0,160777.2432,0
86560.86808,55,3,8,7,381447.6931,0
95906.64061,44,3,16,4,470045.167,0
